	disease	cluster
0	93932	8
1	920	4
2	909	9
3	904	8
4	90348	8
5	90324	3
6	90322	1
7	90321	1
8	902	1
9	90154	7
10	90153	1
11	897	8
12	895	8
13	894	4
14	808	1
15	79477	3
16	79476	3
17	79474	1
18	79333	5
19	79325	9
20	79087	8
21	769	8
22	758	15
23	75496	13
24	740	1
25	633	6
26	500	8
27	498359	8
28	487825	4
29	477	8
30	435628	12
31	412057	11
32	363618	1
33	357074	14
34	3455	8
35	3437	5
36	33445	3
37	33364	4
38	3322	1
39	3163	8
40	3051	4
41	2963	8
42	287	8
43	286	8
44	2834	14
45	280679	5
46	280365	1
47	2658	13
48	263534	4
49	263487	5
50	2500	8
51	220295	1
52	2078	8
53	2067	15
54	1942	10
55	1901	8
56	1860	8
57	1807	4
58	1775	1
59	163746	4
60	1387	13
61	137608	1
62	1340	8
63	1299	4
64	1297	3
65	101028	2
66	100	1
